Tuesday,,,,,,,,,,,,,,
Time,Event,Location,Grade X,Grade XI,Grade FY,Grade SY,Frere,Napier,Papworth,Streeton,Academics,Sport,Society,Misc
06:45 am 07:25 am,Football Team Practice A&O Level Girls,College Section Field,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
07:30 am 07:45 am,House Registration,Respective House Areas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
10:00 am 11:15 am,Founder's Day Special Assembly and Break,Inner Courtyard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
12:00 pm 02:00 pm,"Practical [Chemistry FY B1, B2 & B3]","Chemistry Lab 1, 2 & 3",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01:30 pm 02:30 pm,Urdu Drama Auditions,Lecture Theatre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
01:45 pm 02:30 pm,Master Class: Economics FY,Room N1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01:45 pm 02:45 om,Swimming Society: Girls Training,Swimming Pool,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
01:45 pm 03:30 pm,Indoor Rowing,Gymnasium,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
02:00 pm 06:00 pm,11 th Culligan Throwball Championship 2022 [November 1st to 5th 2022],"City School, PAF Chapter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
04:15 pm 05:45 pm,U-19 Basketball Alpha Sports Festival 2022 [KGS vs. Generations],Alpha College,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE